GROUPING ID,GROUPING DESCRIPTION,Variable Legend,SELECT,DISPLAY,POPULATION_TYPE,VARIABLE
AIR_42.021,"Death rate due to Trachea, bronchus, lung cancers attributable to ambient air pollution (per 100 000 population, age-standardized)",Total,,,WHO_AIR_42,who/AIR_42.ENVCAUSE--ENVCAUSE068
AIR_43.001,Burden of chronic obstructive pulmonary disease attributable to ambient air pollution in terms of number of disability-adjusted life years (DALYs),Female,,,WHO_AIR_43,who/AIR_43.GHECAUSES--GHE118__SEX--F
AIR_43.001,Burden of chronic obstructive pulmonary disease attributable to ambient air pollution in terms of number of disability-adjusted life years (DALYs),Male,,,WHO_AIR_43,who/AIR_43.GHECAUSES--GHE118__SEX--M
AIR_43.001,Burden of chronic obstructive pulmonary disease attributable to ambient air pollution in terms of number of disability-adjusted life years (DALYs),Total,,,WHO_AIR_43,who/AIR_43.GHECAUSES--GHE118
AIR_43.002,Burden of disease attributable to ambient air pollution in terms of number of disability-adjusted life years (DALYs),Female,,,WHO_AIR_43,who/AIR_43.GHECAUSES--GHE000__SEX--F
AIR_43.002,Burden of disease attributable to ambient air pollution in terms of number of disability-adjusted life years (DALYs),Male,,,WHO_AIR_43,who/AIR_43.GHECAUSES--GHE000__SEX--M
AIR_43.002,Burden of disease attributable to ambient air pollution in terms of number of disability-adjusted life years (DALYs),Total,,,WHO_AIR_43,who/AIR_43.GHECAUSES--GHE000
AIR_43.003,Burden of ischaemic heart disease attributable to ambient air pollution in terms of number of disability-adjusted life years (DALYs),Female,,,WHO_AIR_43,who/AIR_43.GHECAUSES--GHE113__SEX--F
AIR_43.003,Burden of ischaemic heart disease attributable to ambient air pollution in terms of number of disability-adjusted life years (DALYs),Male,,,WHO_AIR_43,who/AIR_43.GHECAUSES--GHE113__SEX--M
AIR_43.003,Burden of ischaemic heart disease attributable to ambient air pollution in terms of number of disability-adjusted life years (DALYs),Total,,,WHO_AIR_43,who/AIR_43.GHECAUSES--GHE113
AIR_43.004,Burden of lower respiratory infections attributable to ambient air pollution in terms of number of disability-adjusted life years (DALYs),Female,,,WHO_AIR_43,who/AIR_43.GHECAUSES--GHE039__SEX--F
AIR_43.004,Burden of lower respiratory infections attributable to ambient air pollution in terms of number of disability-adjusted life years (DALYs),Male,,,WHO_AIR_43,who/AIR_43.GHECAUSES--GHE039__SEX--M
AIR_43.004,Burden of lower respiratory infections attributable to ambient air pollution in terms of number of disability-adjusted life years (DALYs),Total,,,WHO_AIR_43,who/AIR_43.GHECAUSES--GHE039
AIR_43.005,Burden of stroke attributable to ambient air pollution in terms of number of disability-adjusted life years (DALYs),Female,,,WHO_AIR_43,who/AIR_43.GHECAUSES--GHE114__SEX--F
AIR_43.005,Burden of stroke attributable to ambient air pollution in terms of number of disability-adjusted life years (DALYs),Male,,,WHO_AIR_43,who/AIR_43.GHECAUSES--GHE114__SEX--M
AIR_43.005,Burden of stroke attributable to ambient air pollution in terms of number of disability-adjusted life years (DALYs),Total,,,WHO_AIR_43,who/AIR_43.GHECAUSES--GHE114
AIR_43.006,"Burden of trachea, bronchus, lung cancers attributable to ambient air pollution in terms of number of disability-adjusted life years (DALYs)",Female,,,WHO_AIR_43,who/AIR_43.GHECAUSES--GHE068__SEX--F
AIR_43.006,"Burden of trachea, bronchus, lung cancers attributable to ambient air pollution in terms of number of disability-adjusted life years (DALYs)",Male,,,WHO_AIR_43,who/AIR_43.GHECAUSES--GHE068__SEX--M
AIR_43.006,"Burden of trachea, bronchus, lung cancers attributable to ambient air pollution in terms of number of disability-adjusted life years (DALYs)",Total,,,WHO_AIR_43,who/AIR_43.GHECAUSES--GHE068
AIR_44.001,Burden of disease attributable to ambient air pollution in terms of number of disability-adjusted life years (DALYs) (age-standardized),,,,WHO_AIR_44,who/AIR_44
AIR_45.001,"Burden of chronic obstructive pulmonary disease among female population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",25-29 years,,,WHO_AIR_45,who/AIR_45.AGE--Y25T29__ENVCAUSE--ENVCAUSE118__SEX--F
AIR_45.001,"Burden of chronic obstructive pulmonary disease among female population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",30-34 years,,,WHO_AIR_45,who/AIR_45.AGE--Y30T34__ENVCAUSE--ENVCAUSE118__SEX--F
AIR_45.001,"Burden of chronic obstructive pulmonary disease among female population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",35-39 years,,,WHO_AIR_45,who/AIR_45.AGE--Y35T39__ENVCAUSE--ENVCAUSE118__SEX--F
AIR_45.001,"Burden of chronic obstructive pulmonary disease among female population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",40-44 years,,,WHO_AIR_45,who/AIR_45.AGE--Y40T44__ENVCAUSE--ENVCAUSE118__SEX--F
AIR_45.001,"Burden of chronic obstructive pulmonary disease among female population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",45-49 years,,,WHO_AIR_45,who/AIR_45.AGE--Y45T49__ENVCAUSE--ENVCAUSE118__SEX--F
AIR_45.001,"Burden of chronic obstructive pulmonary disease among female population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",50-54 years,,,WHO_AIR_45,who/AIR_45.AGE--Y50T54__ENVCAUSE--ENVCAUSE118__SEX--F
AIR_45.001,"Burden of chronic obstructive pulmonary disease among female population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",55-59 years,,,WHO_AIR_45,who/AIR_45.AGE--Y55T59__ENVCAUSE--ENVCAUSE118__SEX--F
AIR_45.001,"Burden of chronic obstructive pulmonary disease among female population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",60-64 years,,,WHO_AIR_45,who/AIR_45.AGE--Y60T64__ENVCAUSE--ENVCAUSE118__SEX--F
AIR_45.001,"Burden of chronic obstructive pulmonary disease among female population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",65-69 years,,,WHO_AIR_45,who/AIR_45.AGE--Y65T69__ENVCAUSE--ENVCAUSE118__SEX--F
AIR_45.001,"Burden of chronic obstructive pulmonary disease among female population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",70-74 years,,,WHO_AIR_45,who/AIR_45.AGE--Y70T74__ENVCAUSE--ENVCAUSE118__SEX--F
AIR_45.001,"Burden of chronic obstructive pulmonary disease among female population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",75-79 years,,,WHO_AIR_45,who/AIR_45.AGE--Y75T79__ENVCAUSE--ENVCAUSE118__SEX--F
AIR_45.001,"Burden of chronic obstructive pulmonary disease among female population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",80+ years,,,WHO_AIR_45,who/AIR_45.AGE--Y_GE80__ENVCAUSE--ENVCAUSE118__SEX--F
AIR_45.002,"Burden of chronic obstructive pulmonary disease among male population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",25-29 years,,,WHO_AIR_45,who/AIR_45.AGE--Y25T29__ENVCAUSE--ENVCAUSE118__SEX--M
AIR_45.002,"Burden of chronic obstructive pulmonary disease among male population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",30-34 years,,,WHO_AIR_45,who/AIR_45.AGE--Y30T34__ENVCAUSE--ENVCAUSE118__SEX--M
AIR_45.002,"Burden of chronic obstructive pulmonary disease among male population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",35-39 years,,,WHO_AIR_45,who/AIR_45.AGE--Y35T39__ENVCAUSE--ENVCAUSE118__SEX--M
AIR_45.002,"Burden of chronic obstructive pulmonary disease among male population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",40-44 years,,,WHO_AIR_45,who/AIR_45.AGE--Y40T44__ENVCAUSE--ENVCAUSE118__SEX--M
AIR_45.002,"Burden of chronic obstructive pulmonary disease among male population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",45-49 years,,,WHO_AIR_45,who/AIR_45.AGE--Y45T49__ENVCAUSE--ENVCAUSE118__SEX--M
AIR_45.002,"Burden of chronic obstructive pulmonary disease among male population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",50-54 years,,,WHO_AIR_45,who/AIR_45.AGE--Y50T54__ENVCAUSE--ENVCAUSE118__SEX--M
AIR_45.002,"Burden of chronic obstructive pulmonary disease among male population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",55-59 years,,,WHO_AIR_45,who/AIR_45.AGE--Y55T59__ENVCAUSE--ENVCAUSE118__SEX--M
AIR_45.002,"Burden of chronic obstructive pulmonary disease among male population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",60-64 years,,,WHO_AIR_45,who/AIR_45.AGE--Y60T64__ENVCAUSE--ENVCAUSE118__SEX--M
AIR_45.002,"Burden of chronic obstructive pulmonary disease among male population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",65-69 years,,,WHO_AIR_45,who/AIR_45.AGE--Y65T69__ENVCAUSE--ENVCAUSE118__SEX--M
AIR_45.002,"Burden of chronic obstructive pulmonary disease among male population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",70-74 years,,,WHO_AIR_45,who/AIR_45.AGE--Y70T74__ENVCAUSE--ENVCAUSE118__SEX--M
AIR_45.002,"Burden of chronic obstructive pulmonary disease among male population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",75-79 years,,,WHO_AIR_45,who/AIR_45.AGE--Y75T79__ENVCAUSE--ENVCAUSE118__SEX--M
AIR_45.002,"Burden of chronic obstructive pulmonary disease among male population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",80+ years,,,WHO_AIR_45,who/AIR_45.AGE--Y_GE80__ENVCAUSE--ENVCAUSE118__SEX--M
AIR_45.003,"Burden of chronic obstructive pulmonary disease among total population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",25-29 years,,,WHO_AIR_45,who/AIR_45.AGE--Y25T29__ENVCAUSE--ENVCAUSE118
AIR_45.003,"Burden of chronic obstructive pulmonary disease among total population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",30-34 years,,,WHO_AIR_45,who/AIR_45.AGE--Y30T34__ENVCAUSE--ENVCAUSE118
AIR_45.003,"Burden of chronic obstructive pulmonary disease among total population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",35-39 years,,,WHO_AIR_45,who/AIR_45.AGE--Y35T39__ENVCAUSE--ENVCAUSE118
AIR_45.003,"Burden of chronic obstructive pulmonary disease among total population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",40-44 years,,,WHO_AIR_45,who/AIR_45.AGE--Y40T44__ENVCAUSE--ENVCAUSE118
AIR_45.003,"Burden of chronic obstructive pulmonary disease among total population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",45-49 years,,,WHO_AIR_45,who/AIR_45.AGE--Y45T49__ENVCAUSE--ENVCAUSE118
AIR_45.003,"Burden of chronic obstructive pulmonary disease among total population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",50-54 years,,,WHO_AIR_45,who/AIR_45.AGE--Y50T54__ENVCAUSE--ENVCAUSE118
AIR_45.003,"Burden of chronic obstructive pulmonary disease among total population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",55-59 years,,,WHO_AIR_45,who/AIR_45.AGE--Y55T59__ENVCAUSE--ENVCAUSE118
AIR_45.003,"Burden of chronic obstructive pulmonary disease among total population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",60-64 years,,,WHO_AIR_45,who/AIR_45.AGE--Y60T64__ENVCAUSE--ENVCAUSE118
AIR_45.003,"Burden of chronic obstructive pulmonary disease among total population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",65-69 years,,,WHO_AIR_45,who/AIR_45.AGE--Y65T69__ENVCAUSE--ENVCAUSE118
AIR_45.003,"Burden of chronic obstructive pulmonary disease among total population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",70-74 years,,,WHO_AIR_45,who/AIR_45.AGE--Y70T74__ENVCAUSE--ENVCAUSE118
AIR_45.003,"Burden of chronic obstructive pulmonary disease among total population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",75-79 years,,,WHO_AIR_45,who/AIR_45.AGE--Y75T79__ENVCAUSE--ENVCAUSE118
AIR_45.003,"Burden of chronic obstructive pulmonary disease among total population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",80+ years,,,WHO_AIR_45,who/AIR_45.AGE--Y_GE80__ENVCAUSE--ENVCAUSE118
AIR_45.004,Burden of chronic obstructive pulmonary disease attributable to ambient air pollution in terms of number of years of life lost (YLLs),Female,,,WHO_AIR_45,who/AIR_45.ENVCAUSE--ENVCAUSE118__SEX--F
AIR_45.004,Burden of chronic obstructive pulmonary disease attributable to ambient air pollution in terms of number of years of life lost (YLLs),Male,,,WHO_AIR_45,who/AIR_45.ENVCAUSE--ENVCAUSE118__SEX--M
AIR_45.004,Burden of chronic obstructive pulmonary disease attributable to ambient air pollution in terms of number of years of life lost (YLLs),Total,,,WHO_AIR_45,who/AIR_45.ENVCAUSE--ENVCAUSE118
AIR_45.005,Burden of disease attributable to ambient air pollution in terms of number of years of life lost (YLLs),Female,,,WHO_AIR_45,who/AIR_45.SEX--F
AIR_45.005,Burden of disease attributable to ambient air pollution in terms of number of years of life lost (YLLs),Male,,,WHO_AIR_45,who/AIR_45.SEX--M
AIR_45.005,Burden of disease attributable to ambient air pollution in terms of number of years of life lost (YLLs),Total,,,WHO_AIR_45,who/AIR_45
AIR_45.006,"Burden of ischaemic heart disease among female population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",25-29 years,,,WHO_AIR_45,who/AIR_45.AGE--Y25T29__ENVCAUSE--ENVCAUSE113__SEX--F
AIR_45.006,"Burden of ischaemic heart disease among female population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",30-34 years,,,WHO_AIR_45,who/AIR_45.AGE--Y30T34__ENVCAUSE--ENVCAUSE113__SEX--F
AIR_45.006,"Burden of ischaemic heart disease among female population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",35-39 years,,,WHO_AIR_45,who/AIR_45.AGE--Y35T39__ENVCAUSE--ENVCAUSE113__SEX--F
AIR_45.006,"Burden of ischaemic heart disease among female population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",40-44 years,,,WHO_AIR_45,who/AIR_45.AGE--Y40T44__ENVCAUSE--ENVCAUSE113__SEX--F
AIR_45.006,"Burden of ischaemic heart disease among female population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",45-49 years,,,WHO_AIR_45,who/AIR_45.AGE--Y45T49__ENVCAUSE--ENVCAUSE113__SEX--F
AIR_45.006,"Burden of ischaemic heart disease among female population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",50-54 years,,,WHO_AIR_45,who/AIR_45.AGE--Y50T54__ENVCAUSE--ENVCAUSE113__SEX--F
AIR_45.006,"Burden of ischaemic heart disease among female population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",55-59 years,,,WHO_AIR_45,who/AIR_45.AGE--Y55T59__ENVCAUSE--ENVCAUSE113__SEX--F
AIR_45.006,"Burden of ischaemic heart disease among female population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",60-64 years,,,WHO_AIR_45,who/AIR_45.AGE--Y60T64__ENVCAUSE--ENVCAUSE113__SEX--F
AIR_45.006,"Burden of ischaemic heart disease among female population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",65-69 years,,,WHO_AIR_45,who/AIR_45.AGE--Y65T69__ENVCAUSE--ENVCAUSE113__SEX--F
AIR_45.006,"Burden of ischaemic heart disease among female population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",70-74 years,,,WHO_AIR_45,who/AIR_45.AGE--Y70T74__ENVCAUSE--ENVCAUSE113__SEX--F
AIR_45.006,"Burden of ischaemic heart disease among female population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",75-79 years,,,WHO_AIR_45,who/AIR_45.AGE--Y75T79__ENVCAUSE--ENVCAUSE113__SEX--F
AIR_45.006,"Burden of ischaemic heart disease among female population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",80+ years,,,WHO_AIR_45,who/AIR_45.AGE--Y_GE80__ENVCAUSE--ENVCAUSE113__SEX--F
AIR_45.007,"Burden of ischaemic heart disease among male population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",25-29 years,,,WHO_AIR_45,who/AIR_45.AGE--Y25T29__ENVCAUSE--ENVCAUSE113__SEX--M
AIR_45.007,"Burden of ischaemic heart disease among male population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",30-34 years,,,WHO_AIR_45,who/AIR_45.AGE--Y30T34__ENVCAUSE--ENVCAUSE113__SEX--M
AIR_45.007,"Burden of ischaemic heart disease among male population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",35-39 years,,,WHO_AIR_45,who/AIR_45.AGE--Y35T39__ENVCAUSE--ENVCAUSE113__SEX--M
AIR_45.007,"Burden of ischaemic heart disease among male population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",40-44 years,,,WHO_AIR_45,who/AIR_45.AGE--Y40T44__ENVCAUSE--ENVCAUSE113__SEX--M
AIR_45.007,"Burden of ischaemic heart disease among male population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",45-49 years,,,WHO_AIR_45,who/AIR_45.AGE--Y45T49__ENVCAUSE--ENVCAUSE113__SEX--M
AIR_45.007,"Burden of ischaemic heart disease among male population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",50-54 years,,,WHO_AIR_45,who/AIR_45.AGE--Y50T54__ENVCAUSE--ENVCAUSE113__SEX--M
AIR_45.007,"Burden of ischaemic heart disease among male population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",55-59 years,,,WHO_AIR_45,who/AIR_45.AGE--Y55T59__ENVCAUSE--ENVCAUSE113__SEX--M
AIR_45.007,"Burden of ischaemic heart disease among male population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",60-64 years,,,WHO_AIR_45,who/AIR_45.AGE--Y60T64__ENVCAUSE--ENVCAUSE113__SEX--M
AIR_45.007,"Burden of ischaemic heart disease among male population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",65-69 years,,,WHO_AIR_45,who/AIR_45.AGE--Y65T69__ENVCAUSE--ENVCAUSE113__SEX--M
AIR_45.007,"Burden of ischaemic heart disease among male population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",70-74 years,,,WHO_AIR_45,who/AIR_45.AGE--Y70T74__ENVCAUSE--ENVCAUSE113__SEX--M
AIR_45.007,"Burden of ischaemic heart disease among male population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",75-79 years,,,WHO_AIR_45,who/AIR_45.AGE--Y75T79__ENVCAUSE--ENVCAUSE113__SEX--M
AIR_45.007,"Burden of ischaemic heart disease among male population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",80+ years,,,WHO_AIR_45,who/AIR_45.AGE--Y_GE80__ENVCAUSE--ENVCAUSE113__SEX--M
AIR_45.008,"Burden of ischaemic heart disease among total population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",25-29 years,,,WHO_AIR_45,who/AIR_45.AGE--Y25T29__ENVCAUSE--ENVCAUSE113
AIR_45.008,"Burden of ischaemic heart disease among total population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",30-34 years,,,WHO_AIR_45,who/AIR_45.AGE--Y30T34__ENVCAUSE--ENVCAUSE113
AIR_45.008,"Burden of ischaemic heart disease among total population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",35-39 years,,,WHO_AIR_45,who/AIR_45.AGE--Y35T39__ENVCAUSE--ENVCAUSE113
AIR_45.008,"Burden of ischaemic heart disease among total population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",40-44 years,,,WHO_AIR_45,who/AIR_45.AGE--Y40T44__ENVCAUSE--ENVCAUSE113
AIR_45.008,"Burden of ischaemic heart disease among total population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",45-49 years,,,WHO_AIR_45,who/AIR_45.AGE--Y45T49__ENVCAUSE--ENVCAUSE113
AIR_45.008,"Burden of ischaemic heart disease among total population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",50-54 years,,,WHO_AIR_45,who/AIR_45.AGE--Y50T54__ENVCAUSE--ENVCAUSE113
AIR_45.008,"Burden of ischaemic heart disease among total population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",55-59 years,,,WHO_AIR_45,who/AIR_45.AGE--Y55T59__ENVCAUSE--ENVCAUSE113
AIR_45.008,"Burden of ischaemic heart disease among total population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",60-64 years,,,WHO_AIR_45,who/AIR_45.AGE--Y60T64__ENVCAUSE--ENVCAUSE113
AIR_45.008,"Burden of ischaemic heart disease among total population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",65-69 years,,,WHO_AIR_45,who/AIR_45.AGE--Y65T69__ENVCAUSE--ENVCAUSE113
AIR_45.008,"Burden of ischaemic heart disease among total population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",70-74 years,,,WHO_AIR_45,who/AIR_45.AGE--Y70T74__ENVCAUSE--ENVCAUSE113
AIR_45.008,"Burden of ischaemic heart disease among total population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",75-79 years,,,WHO_AIR_45,who/AIR_45.AGE--Y75T79__ENVCAUSE--ENVCAUSE113
AIR_45.008,"Burden of ischaemic heart disease among total population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",80+ years,,,WHO_AIR_45,who/AIR_45.AGE--Y_GE80__ENVCAUSE--ENVCAUSE113
AIR_45.009,Burden of ischaemic heart disease attributable to ambient air pollution in terms of number of years of life lost (YLLs),Female,,,WHO_AIR_45,who/AIR_45.ENVCAUSE--ENVCAUSE113__SEX--F
AIR_45.009,Burden of ischaemic heart disease attributable to ambient air pollution in terms of number of years of life lost (YLLs),Male,,,WHO_AIR_45,who/AIR_45.ENVCAUSE--ENVCAUSE113__SEX--M
AIR_45.009,Burden of ischaemic heart disease attributable to ambient air pollution in terms of number of years of life lost (YLLs),Total,,,WHO_AIR_45,who/AIR_45.ENVCAUSE--ENVCAUSE113
AIR_45.010,"Burden of lower respiratory infections among female population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",0-4 years,,,WHO_AIR_45,who/AIR_45.AGE--Y0T4__ENVCAUSE--ENVCAUSE039__SEX--F
AIR_45.010,"Burden of lower respiratory infections among female population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",5-9 years,,,WHO_AIR_45,who/AIR_45.AGE--Y5T9__ENVCAUSE--ENVCAUSE039__SEX--F
AIR_45.010,"Burden of lower respiratory infections among female population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",10-14 years,,,WHO_AIR_45,who/AIR_45.AGE--Y10T14__ENVCAUSE--ENVCAUSE039__SEX--F
AIR_45.010,"Burden of lower respiratory infections among female population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",15-19 years,,,WHO_AIR_45,who/AIR_45.AGE--Y15T19__ENVCAUSE--ENVCAUSE039__SEX--F
AIR_45.010,"Burden of lower respiratory infections among female population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",20-24 years,,,WHO_AIR_45,who/AIR_45.AGE--Y20T24__ENVCAUSE--ENVCAUSE039__SEX--F
AIR_45.010,"Burden of lower respiratory infections among female population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",25-29 years,,,WHO_AIR_45,who/AIR_45.AGE--Y25T29__ENVCAUSE--ENVCAUSE039__SEX--F
AIR_45.010,"Burden of lower respiratory infections among female population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",30-34 years,,,WHO_AIR_45,who/AIR_45.AGE--Y30T34__ENVCAUSE--ENVCAUSE039__SEX--F
AIR_45.010,"Burden of lower respiratory infections among female population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",35-39 years,,,WHO_AIR_45,who/AIR_45.AGE--Y35T39__ENVCAUSE--ENVCAUSE039__SEX--F
AIR_45.010,"Burden of lower respiratory infections among female population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",40-44 years,,,WHO_AIR_45,who/AIR_45.AGE--Y40T44__ENVCAUSE--ENVCAUSE039__SEX--F
AIR_45.010,"Burden of lower respiratory infections among female population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",45-49 years,,,WHO_AIR_45,who/AIR_45.AGE--Y45T49__ENVCAUSE--ENVCAUSE039__SEX--F
AIR_45.010,"Burden of lower respiratory infections among female population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",50-54 years,,,WHO_AIR_45,who/AIR_45.AGE--Y50T54__ENVCAUSE--ENVCAUSE039__SEX--F
AIR_45.010,"Burden of lower respiratory infections among female population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",55-59 years,,,WHO_AIR_45,who/AIR_45.AGE--Y55T59__ENVCAUSE--ENVCAUSE039__SEX--F
AIR_45.010,"Burden of lower respiratory infections among female population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",60-64 years,,,WHO_AIR_45,who/AIR_45.AGE--Y60T64__ENVCAUSE--ENVCAUSE039__SEX--F
AIR_45.010,"Burden of lower respiratory infections among female population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",65-69 years,,,WHO_AIR_45,who/AIR_45.AGE--Y65T69__ENVCAUSE--ENVCAUSE039__SEX--F
AIR_45.010,"Burden of lower respiratory infections among female population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",70-74 years,,,WHO_AIR_45,who/AIR_45.AGE--Y70T74__ENVCAUSE--ENVCAUSE039__SEX--F
AIR_45.010,"Burden of lower respiratory infections among female population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",75-79 years,,,WHO_AIR_45,who/AIR_45.AGE--Y75T79__ENVCAUSE--ENVCAUSE039__SEX--F
AIR_45.010,"Burden of lower respiratory infections among female population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",80+ years,,,WHO_AIR_45,who/AIR_45.AGE--Y_GE80__ENVCAUSE--ENVCAUSE039__SEX--F
AIR_45.011,"Burden of lower respiratory infections among male population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",0-4 years,,,WHO_AIR_45,who/AIR_45.AGE--Y0T4__ENVCAUSE--ENVCAUSE039__SEX--M
AIR_45.011,"Burden of lower respiratory infections among male population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",5-9 years,,,WHO_AIR_45,who/AIR_45.AGE--Y5T9__ENVCAUSE--ENVCAUSE039__SEX--M
AIR_45.011,"Burden of lower respiratory infections among male population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",10-14 years,,,WHO_AIR_45,who/AIR_45.AGE--Y10T14__ENVCAUSE--ENVCAUSE039__SEX--M
AIR_45.011,"Burden of lower respiratory infections among male population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",15-19 years,,,WHO_AIR_45,who/AIR_45.AGE--Y15T19__ENVCAUSE--ENVCAUSE039__SEX--M
AIR_45.011,"Burden of lower respiratory infections among male population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",20-24 years,,,WHO_AIR_45,who/AIR_45.AGE--Y20T24__ENVCAUSE--ENVCAUSE039__SEX--M
AIR_45.011,"Burden of lower respiratory infections among male population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",25-29 years,,,WHO_AIR_45,who/AIR_45.AGE--Y25T29__ENVCAUSE--ENVCAUSE039__SEX--M
AIR_45.011,"Burden of lower respiratory infections among male population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",30-34 years,,,WHO_AIR_45,who/AIR_45.AGE--Y30T34__ENVCAUSE--ENVCAUSE039__SEX--M
AIR_45.011,"Burden of lower respiratory infections among male population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",35-39 years,,,WHO_AIR_45,who/AIR_45.AGE--Y35T39__ENVCAUSE--ENVCAUSE039__SEX--M
AIR_45.011,"Burden of lower respiratory infections among male population attributable to ambient air pollution in terms of years of life lost (YLLs), by age",40-44 years,,,WHO_AIR_45,who/AIR_45.AGE--Y40T44__ENVCAUSE--ENVCAUSE039__SEX--M
